Starting to train the tabular agent...
10000 episodes.
Episode: 100 | Score: -6.0 | Avg100: 0.9 | Epsilon: 0.485 | LR: 0.1990 | States: 157
Episode: 200 | Score: 23.0 | Avg100: 4.8 | Epsilon: 0.471 | LR: 0.1980 | States: 189
Episode: 300 | Score: 3.0 | Avg100: 7.3 | Epsilon: 0.457 | LR: 0.1970 | States: 214
Episode: 400 | Score: 0.0 | Avg100: 4.4 | Epsilon: 0.443 | LR: 0.1960 | States: 238
Episode: 500 | Score: 12.0 | Avg100: 9.6 | Epsilon: 0.430 | LR: 0.1951 | States: 255
Episode: 600 | Score: 27.0 | Avg100: 10.6 | Epsilon: 0.418 | LR: 0.1941 | States: 268
Episode: 700 | Score: 14.0 | Avg100: 12.0 | Epsilon: 0.405 | LR: 0.1931 | States: 281
Episode: 800 | Score: -1.0 | Avg100: 12.8 | Epsilon: 0.393 | LR: 0.1922 | States: 289
Episode: 900 | Score: -1.0 | Avg100: 15.1 | Epsilon: 0.382 | LR: 0.1912 | States: 296
Episode: 1000 | Score: 40.0 | Avg100: 14.1 | Epsilon: 0.370 | LR: 0.1902 | States: 306
Episode: 1100 | Score: 17.0 | Avg100: 17.0 | Epsilon: 0.359 | LR: 0.1893 | States: 312
Episode: 1200 | Score: 18.0 | Avg100: 16.2 | Epsilon: 0.349 | LR: 0.1884 | States: 320
Episode: 1300 | Score: 6.0 | Avg100: 16.8 | Epsilon: 0.339 | LR: 0.1874 | States: 333
Episode: 1400 | Score: 18.0 | Avg100: 18.4 | Epsilon: 0.329 | LR: 0.1865 | States: 338
Episode: 1500 | Score: 30.0 | Avg100: 17.4 | Epsilon: 0.319 | LR: 0.1855 | States: 344
Episode: 1600 | Score: 40.0 | Avg100: 18.9 | Epsilon: 0.309 | LR: 0.1846 | States: 346
Episode: 1700 | Score: 2.0 | Avg100: 19.9 | Epsilon: 0.300 | LR: 0.1837 | States: 351
Episode: 1800 | Score: 5.0 | Avg100: 17.9 | Epsilon: 0.291 | LR: 0.1828 | States: 358
Episode: 1900 | Score: 9.0 | Avg100: 24.3 | Epsilon: 0.283 | LR: 0.1819 | States: 366
Episode: 2000 | Score: 30.0 | Avg100: 19.9 | Epsilon: 0.274 | LR: 0.1810 | States: 367
Episode: 2100 | Score: 14.0 | Avg100: 28.1 | Epsilon: 0.266 | LR: 0.1801 | States: 369
Episode: 2200 | Score: 13.0 | Avg100: 22.3 | Epsilon: 0.258 | LR: 0.1792 | States: 375
Episode: 2300 | Score: 65.0 | Avg100: 26.6 | Epsilon: 0.251 | LR: 0.1783 | States: 380
Episode: 2400 | Score: 33.0 | Avg100: 23.9 | Epsilon: 0.243 | LR: 0.1774 | States: 384
Episode: 2500 | Score: 31.0 | Avg100: 29.6 | Epsilon: 0.236 | LR: 0.1765 | States: 388
Episode: 2600 | Score: 30.0 | Avg100: 30.2 | Epsilon: 0.229 | LR: 0.1756 | States: 390
Episode: 2700 | Score: 13.0 | Avg100: 29.6 | Epsilon: 0.222 | LR: 0.1747 | States: 392
Episode: 2800 | Score: 18.0 | Avg100: 34.8 | Epsilon: 0.216 | LR: 0.1739 | States: 398
Episode: 2900 | Score: 27.0 | Avg100: 33.0 | Epsilon: 0.209 | LR: 0.1730 | States: 399
Episode: 3000 | Score: 69.0 | Avg100: 33.1 | Epsilon: 0.203 | LR: 0.1721 | States: 404
Episode: 3100 | Score: 55.0 | Avg100: 34.4 | Epsilon: 0.197 | LR: 0.1713 | States: 406
Episode: 3200 | Score: 0.0 | Avg100: 28.4 | Epsilon: 0.191 | LR: 0.1704 | States: 410
Episode: 3300 | Score: 30.0 | Avg100: 40.1 | Epsilon: 0.186 | LR: 0.1696 | States: 412
Episode: 3400 | Score: 31.0 | Avg100: 36.4 | Epsilon: 0.180 | LR: 0.1687 | States: 413
Episode: 3500 | Score: 41.0 | Avg100: 37.9 | Epsilon: 0.175 | LR: 0.1679 | States: 415
Episode: 3600 | Score: 41.0 | Avg100: 42.7 | Epsilon: 0.170 | LR: 0.1671 | States: 416
Episode: 3700 | Score: 30.0 | Avg100: 40.4 | Epsilon: 0.165 | LR: 0.1662 | States: 418
Episode: 3800 | Score: 45.0 | Avg100: 38.7 | Epsilon: 0.160 | LR: 0.1654 | States: 418
Episode: 3900 | Score: 45.0 | Avg100: 45.4 | Epsilon: 0.155 | LR: 0.1646 | States: 420
Episode: 4000 | Score: 69.0 | Avg100: 41.6 | Epsilon: 0.151 | LR: 0.1637 | States: 421
Episode: 4100 | Score: 29.0 | Avg100: 51.9 | Epsilon: 0.146 | LR: 0.1629 | States: 422
Episode: 4200 | Score: 116.0 | Avg100: 48.5 | Epsilon: 0.142 | LR: 0.1621 | States: 424
Episode: 4300 | Score: 85.0 | Avg100: 46.0 | Epsilon: 0.138 | LR: 0.1613 | States: 425
Episode: 4400 | Score: 155.0 | Avg100: 49.8 | Epsilon: 0.134 | LR: 0.1605 | States: 426
Episode: 4500 | Score: 21.0 | Avg100: 53.6 | Epsilon: 0.130 | LR: 0.1597 | States: 428
Episode: 4600 | Score: 53.0 | Avg100: 50.3 | Epsilon: 0.126 | LR: 0.1589 | States: 432
Episode: 4700 | Score: 47.0 | Avg100: 53.2 | Epsilon: 0.122 | LR: 0.1581 | States: 434
Episode: 4800 | Score: 32.0 | Avg100: 56.7 | Epsilon: 0.118 | LR: 0.1573 | States: 434
Episode: 4900 | Score: 130.0 | Avg100: 60.5 | Epsilon: 0.115 | LR: 0.1565 | States: 436
Episode: 5000 | Score: 144.0 | Avg100: 54.8 | Epsilon: 0.112 | LR: 0.1558 | States: 439
Episode: 5100 | Score: 19.0 | Avg100: 57.8 | Epsilon: 0.108 | LR: 0.1550 | States: 440
Episode: 5200 | Score: 84.0 | Avg100: 64.7 | Epsilon: 0.105 | LR: 0.1542 | States: 440
Episode: 5300 | Score: 105.0 | Avg100: 63.1 | Epsilon: 0.102 | LR: 0.1534 | States: 442
